ConfirmFirstMeasureToSideOfTable()
Table measured at :97
ConfirmFirstMeasureToSideOfTable() - done
MoveTableToScanStartPosition()
Moving table to upper limit
Moving table to upper limit - done
MoveTableToScanStartPosition() - done
Press confirm to begin scan?
PerformScan
Revolution 0
19:10 touched True steps 381
19:11 touched True steps 382
19:12 touched True steps 382
19:13 touched True steps 385
19:14 touched True steps 388
19:15 touched True steps 390
19:16 touched True steps 390
19:17 touched True steps 392
19:18 touched True steps 395
19:19 touched True steps 396
19:20 touched True steps 395
19:21 touched True steps 395
19:22 touched True steps 394
19:23 touched True steps 392
19:24 touched True steps 390
19:25 touched True steps 390
19:26 touched True steps 388
19:27 touched True steps 389
19:28 touched True steps 391
19:29 touched True steps 391
19:30 touched True steps 387
19:31 touched True steps 384
19:32 touched True steps 382
19:33 touched True steps 383
19:34 touched True steps 389
19:35 touched True steps 390
19:36 touched True steps 394
19:37 touched True steps 399
19:38 touched True steps 400
19:39 touched True steps 400
19:40 touched True steps 401
19:41 touched True steps 401
19:42 touched True steps 399
19:43 touched True steps 399
19:44 touched True steps 398
19:45 touched True steps 394
19:46 touched True steps 391
19:47 touched True steps 385
19:48 touched True steps 379
19:49 touched True steps 376
19:50 touched True steps 375
Revolution 20
20:0 touched True steps 371
20:1 touched True steps 369
20:2 touched True steps 369
20:3 touched True steps 371
20:4 touched True steps 372
20:5 touched True steps 372
20:6 touched True steps 377
20:7 touched True steps 380
20:8 touched True steps 382
20:9 touched True steps 384
20:10 touched True steps 386
20:11 touched True steps 387
20:12 touched True steps 389
20:13 touched True steps 390
20:14 touched True steps 391
20:15 touched True steps 392
20:16 touched True steps 394
20:17 touched True steps 397
20:18 touched True steps 398
20:19 touched True steps 399
20:20 touched True steps 399
20:21 touched True steps 401
20:22 touched True steps 396
20:23 touched True steps 396
20:24 touched True steps 395
20:25 touched True steps 395
20:26 touched True steps 394
20:27 touched True steps 395
20:28 touched True steps 393
20:29 touched True steps 396
20:30 touched True steps 397
20:31 touched True steps 385
20:32 touched True steps 382
20:33 touched True steps 383
20:34 touched True steps 387
20:35 touched True steps 391
20:36 touched True steps 396
20:37 touched True steps 399
20:38 touched True steps 401
20:39 touched True steps 402
